X,Y,NAMA HOTEL,ALAMAT,LANDMARK,NO TELEFON,LOKASI ,WEBSITE,icon_url
103.371889553296,3.81156147100544,Hyatt Regency Kuantan Resort,"Teluk Cempedak, Kuantan",Bersebelahan McDonalds TC,09-5181234,https://maps.app.goo.gl/wzyg1NZGC7marjos7,https://www.hyatt.com/,./0.png
103.325955022751,3.81968446630249,The Zenith Hotel,"Jalan Putra Square 6, Kuantan",Berhadapan East Coast Mall,09-5659595,https://maps.app.goo.gl/MkHg4MnSsAubB99u9,https://kuantan.thezenithhotel.com/,./0.png
